plate,review_reason_code,customer_meaning,reviewer_comments,status
ABADAN1,2,CITY MY MOTHER WAS BORN IN,"A BAD ASS DANI/ A BAD ASS NUMBER 1, ABADAN current out since 2015",Y
AFTAAB,2,SON'S NAME,AFT=ABOUT FUCKING TIME Us 43 Up 10 Down,Y
AKS RVR,2,,"HOSTILE- AK REVOLVER, customer initals AK, ",Y
APEX PRD,7D,APEX PREDATOR,"REACHED A HIGH POINT/ PRE-ROLLED DUBIE UD 39 Up, 12 Down",Y
APLIKER,1,APPLIQUER- A FORM OF APPLYING PICTURES OR ART TO QUILTS ETC,A PUSSY LICKER,Y
BBZ JAM,2,BRIANNE DAUGHTER INITIALS,BZ-BEEZY=BITCH,Y
BIG HECK,2,HUSBANDS NICKNAME…,HECK-REPLACEMENT FOR HELL,Y
BLKBTLR,2,BLACK BUTLER IS AN ANIME CHARACTER,"BLACK BUTLER, meaning is true, but….",N
BLKNATV,2,**NO MICOFILM AVAILABLE FOR MEANING**,BLACK NATIVE,N
BLKNESS,2,COLOR OF CAR,BLACKNESS,N
BMBEE69,1,"BUMBLEBEE 1969, THE NAME AND YEAR OF MY CAR.","SEXUAL-'69', 69 Chevy on ANI",Y
B N M,2,BARBIE NICOLE MATTHEW,"STAND ALONE 'B'=BITCH, I don’t give a damn in Hindi UD 96 Up and 18 Down",Y
BOOBIE,1,NICKNAME,SEXUAL- BOOBIE= BOOBS/BREAST,N
BWAHH,2,A SONG LYRIC,"STAND ALONE 'B'=BITCH ""BITCH WOW""",Y
BZTRLHK,2,B'S (BRENDA'S) TRAILHAWK,"BZ-BEEZY=BITCH ""BITCH TRAIL HIKE"", customers name is Brenda",Y
B88PER,2,NICK NAME 88 YEAR I WAS BORN,GANG AFFILIATION- '88',N
CACHYSS,2,NICKNAME,"GANG AFFILIATION- 'SS', can’t see ANI",Y
CDMX DF,2,"CD = CITY, MX = MEXICO, DF = ""SPANISH"" DISTRITO FEDERAL","DF=DA FUCK, meaning is true",Y
CHHERR Y,1,CHILDHOOD NAME,"SEXUAL- CHERRY=VAGINA, CHERRY is current but for a customer names Cherry.  This customer not named cherry.",Y
CO ONUT,1,COCONUTS,SEXUAL- NUT,N
DARVO,7D,"DARVO IS MY NICKNAME. IT IS SHORT FOR DARWIN. IT IS A NAME GIVEN TO ME BY MY FAMILY, AND IS ONE THAT I TREASURE.","DENY ATTACK & REVERSE VICTIM & OFFENDER, could be short for the painkiller darvocet, customer name is Darwin",N
DCRUZZN,1,D CRUISIN,SEXUAL-DICK CRUISING,Y
DEB 13,2,NAME & FAVORITE NUMBER,GANG AFFILIATION- '13',N
DIAZ65O,2,LAST NAME,AREA CODE (650),N
DMDOUMA,7D,NICKNAME,DO YOU MA/DO YOU WHAT,Y
DOBL D,1,MY NAME IS DANNY DAVIS. MY NICKNAME IS DOUBLE D,SEXUAL- DOUBLE D (BOOB MEASUREMENT),N
DOOROOD,,LONG LIVE,PHRASES THAT COMPLIMENT THE ISLAMIC PROPHET. (UNABLE TO FURTHER RESEARCH DUE TO COMPUTER RESTRICTIONS,Y
ERRL GRL,7D,MY BOYFRIEND'S NAME IS ERRL,"ERRL= MARIJUANA & CANNABIS, UD 207 Up 77 Down",Y
FACESIT,1,FACING A CHALLENGE. HE FACES IT.,SEXUAL- SIT ON MY FACE,N
FF BABE,1,FIRE FIGHTER WIFE,SEXUAL- FUCK FACE BABE,N
FWD SUX,2,HERO INITIALS,SUX=SUCKS,N
FY8HT ON,2,"""FIGHT ON"" USC-SLOGAN",FY=FUCK YOU/FIGHT ON,Y
F8ON4VR,2,FIGHT ON FOREVER (USC),F-FUCK,Y
GENBONE,1,DOG NAME,SEXUAL- GETTING BONED,Y
GONG 13,2,LAST NAME & LUCKY NUMBER,GANG AFFILIATION- '13',N
GONZA13,2,,"GANG AFFILIATION- '13', no 13 on ANI",N
GOO4H1,7D,GO 2004 HIGHWAY 1,DRUG- GO FOR A HIGH,N
GPANANI,1,GRAND PARENTS,"PANANI-VAGINA IN JAMAICAN, 80 Up, 43 Down",N
GRB SQD,2,GRUB SQUAD. I CO-MANAGE A FOODIE MICRO-BLOG ON INSTAGRAM CALLED GRUBLIFECA.,GRB= GANG IN BRISBANE/ SQUAD=GANG,N
HEAD TRN,1,HEAD TURN,SEXUAL- HEAD TURN OR HEAD TRAIN,Y
HOR 10S,2,HORTENSE (NAME),"HOR=WHORE, name is Kat",N
HZABLE2,2,HE'S ABLE 2,"HAZING, HZABLE current",Y
II AMEND,7D,CONSTITUTION,2ND AMENDMENT,Y
IL FYB,2,I'LL FORGET YOUR BIRTHDAY,I'LL FUCK YOUR BITCH,N
IMAW8ED,7D,I AM AWAITED,I'M A WASTE/I'M WASTED,N
ISF4DAN,2,,"IS FUCKIN 4 DAN, ISF is a Lexus, can’t see aNI",Y
J GEE SS,2,"JAYSON GLEN SUPER SPORT. FIRST INITIAL, MIDDLE INITIAL WITH 2 EE FOR EMPHASIS, AND THE CAR MODEL","GANG AFFILIATION- 'SS', no Chevy on ANI",N
KIKO SS,2,NICKNAME,"GANG AFFILIATION- 'SS', no Chevy on ANI",N
KINGPEE,7D,MY NICKNAME,OFFENSIVE- PEE,N
KING 415,2,MY SONS FIRST NAME AND THE THREE NUMBERS  OF MY AREA CODE.,AREA CODE (415) BAY AREA,N
KXKXXXK,2,ME AND MY WIFES CODE. ITS EASIER TO VERIFY ME FOR MY FAMILY.,GANG AFFILIATION- 'KKK',Y
LKRMNY,2,LAKER MANNY,"VULGAR- LICK HER MONEY, customers first name is Manuel",Y
LOW7TFO,2,LOW 74,"VULGAR- TFO=THE FUCK OUT, has 74 Chevy and 64 Chevy with LOW6TFO plate",Y
MOKUM,1,"MEANS ""CITY"" IN DUTCH","SEXUAL- MORE CUM, a translation of Amsterdam",N
MR M 69,1,MR. MARTINEZ 69 IS YEAR I WAS BORN,SEXUAL- '69',N
MS TETA,7D,NICKNAME,OFFENSIVE- TETA IS BREAST IN SPANISH,N
NAE LYN,1,"RENEE LYN, MY FIRST AND MIDDLE NAMES.","SEXUAL- NAILING, meaning is true",Y
NOVA818,2,NICK NAME & AREA CODE,AREA CODE (818),N
NSCAR88,2,NASCAR 88,GANG AFFILIATION- '88',N
R2DD2,1,"STAR WARS CHARACTER, R2D2",SEXUAL-DOUBLE D(BOOB MEASUREMENT),Y
R66 88N,2,FIRST AND LAST NAME WITH LUCKY NUMBERS,GANG AFFILIATION- '88',N
SAVI P,1,SHORT FOR SAVANNAH PIERINI,"SEXUAL- STAND ALONE 'P'=PUSSY, customer is Angelina Pierini",Y
SBS GUNC,1,SAN BERNADINO SHERIFF GUN CLUB,"SEXUAL- SUDDEN BONER SYNDROME 253 Up, 93 down",Y
SENDME1,1,MILITARY POLICE WELCOME CALL,"SEXUAL-SEND ME NUDES,  SEND ME current out since 15",Y
SHWFG D,1,SUPER HOT WORLD FAMOUS GOLDEN DRAGONS,SEXUAL- STAND ALONE 'D',N
SSAYWHN,2,SAY WHEN,HOSTILE- SAY WHEN,Y
SS GROWL,2,SUPER SPORT GROWL,"GANG AFFILIATION- 'SS', 16 Chevy Auto on ANI",Y
SS STORM,2,STORM,"GANG AFFILIATION- 'SS', has 67 Chrysler and 65 Buick on ANI",N
SSTRGZR,2,STAR GAZER I AM AN AMATEUR ASTRONOMER AND LOVE TO GAZE AT THE STARS.,GANG AFFILIATION- 'SS',Y
SUMN2H8,2,NOTHING,HOSTILE- SOMETHING TO HATE,N
SUP GEE,2,HOW ARE YOU,GANG AFFILIATION- GEE= (G-GANGSTER),Y
SUPHOMY,2,WHAT'S UP HOMIE,GANG AFFILIATION- WHATS UP HOMIE?,Y
SUUCIA,2,THE NAME OF MY CAR,"VULGAR- SPANISH SLANG FOR DIRTY GIRL, SUCIA listed as unacceptable",N
TELMENO,2,WORKING HARD,"HOSTILE- ""TELL ME NO""",N
THUGGIE,7D,THUGGY,OFFENSIVE- THUGGIE= THUG,N
UNEEDIT,1,OWN A WINDOW TINTING BUSINESS CALLED TINTZ R US IN ROSEVILLE. MY REAR GLASS HAS MY BUSINESS LOGO AND THE PLATE I'M ORDERING MEANS YOU NEED IT AUTO BOAT AND RESIDENTIAL TINTING .,"SEXUAL- ""YOU NEED IT""",N
VQ37S G,2,VQ37 IS THE NAME OF THE ENGINE FOR MY CAR  THEN S FOR SPORT AND G FOR GOOD.,STAND ALONE 'G'= GANGSTER,Y
Y 8888 Y,2,GOOD FORTUNE,GANG AFFILIATION- '88',N
1ER KRU,2,THE SECOND HIGHEST QUALITY DESIGNATION A  WINE CAN ACHIEVE IN FRANCE.,"GANG AFFILIATION- 'CREW', meaning is true, 1ER CRU current out since 97",Y
2FRICK3,7D,FAVORITE WORD & NUMBER,"OFFENSIVE- ""TO FUCK THREE""",N
4NUDNIK,1,A PERSON WHO IS A NUISANCE IN YIDDISH,"SEXUAL- FOR NUDE NIK, NUDNICK current out since 88. meaning true",Y
51OWGON,2,SHORT FOR DATSUN 510 WAGON,"AREA CODE- (51O) BAY AREA, 2 Datsuns on ANI",Y
6P4SCAT,2,6.4 SCAT PACK,VULGAR- SCAT=SHIT,N
8AKIRA8,2,MY MIDDLE NAME,GANG AFFILIATION- '88',N
92 5 O,5,YEAR OF THE CAR,5O POLICE REFERENCE,Y
ACEHUTR,1,ACE HUNTER,SEXUAL- ASS HUNTER,Y
MY MOX,1,MEMORY OF CAT,SEXUAL- MY BOX= MY ASS,Y
EYE$PS,1,NOT AVAIL. CUSTOMER LIVES IN PALM SPRINGS,"SEXUAL- I LOVE PUSSY **HAS RECORD**, plate current has been out since at least 03",Y
$MIMI P,1,GRANDKIDS NAME FOR ME & INITIAL FOR LAST    NAME,"SEXUAL- STAND ALONE 'P'=PUSSY, last name Peterson",Y
AAA 88,2,AAA ARE MY INITIALS AND 8'S ARE MY KIDS BIRTHDATES,GANG AFFILIATION- '88',N
TSLAIAN,1,TESLA + IAN,"SEXUAL- TS=TRANSEXUAL, Tesla on ANI",Y
DSRT OG,2,DESERT OG,GANG AFFILIATION- 'OG'=ORIGINAL GANGSTER,Y
NKDFRG,1,THE NAKED FROG IS A BUSINESS IN CALAVERAS  COUNTY,SEXUAL- NKD=NAKED,Y
VTOWND,1,VETERAN OWNED,"SEXUAL-V=VAGINA D=DICK, Veterans plate",Y
GAS SUCZ,7D,GAS IS BAD FOR THE ENVIRONMENT,OFFENSIVE- 'SUCKS',N
HUOLIGN,2,NAME OF SOFTBALL TEAM,GANG AFFILIATION- HOULIGIN,N
INSURE U,7D,INSURANCE FOR YOU,OFFENSIVE,Y
MYBZ 69,1,MY BABES 69,"SEXUAL- '69', 69 Chevy on ANI",Y
SS A 66,2,MODEL IS A SUPER SPORT AND YEAR MADE IS 1966,"GANG AFFILIATION- 'SS', 66 Chevy on ANI",Y
7EFCALI,2,7E FOR CALIFORNIA,VULGAR-EF=FUCK,N
OKTHNBY,7D,A FAST WAY TO END A CONVERSATION.  ALSO MY  EMAIL SCREEN NAME FOR MANY YEARS.,OFFENSIVE- OK THEN BYE,Y
PE GREEN,7D,PRISTINE GREEN,OFFENSIVE- PEE GREEN,N
1BUG2BZ,2,WE HAVE 3 CHILDREN AND THEIR NICKNAMES ARE BUG AND BEE.,VULGAR- BZ-BEEZY=BITCH,Y
2GOAWAY,2,TO TRAVEL,HOSTILE- TO GO AWAY,Y
ADVIK B,2,MY SON'S NAME,"STAND ALONE B B=BITCH, customers name is V Balaji",Y
AHI ONE,7D,"AHI CONSTRUCTION IS MY COMPANY,SO ITS JUST  ONE COMPANY VEHICAL","A HIGH ONE, meaning is true",Y
AJMACH1,7D,ALEX JUAREZ'S MACH 1 MUSTANG FROM 1972,AJ MATCH 1,Y
A NERDZ,7D,OUR FAMILY,OFFENSIVE- NERD,Y
ANGMICH,2,NAME SON AND DAUGHTER,"MICH- MALE BITCH, no UD votes",Y
ARPFS,7D,"PERSONAL ATTRIBUTES:A=ANALYTICAL, R=RESPONSIBLE",ASSAULT RIFLE PRETTY FUCKIN SWEET,N
ASLOWMS,7D,IT'S A DESCRIPTION OF MY CAR.,A SLOW WOMEN(S),N
ATDABCH,2,AT THE BEACH,"AT DA BITCH/ AT THE BEACH, Legacy",N
AWALL 24,7D,SON'S BASEBALL NUMBER AND GOES BY AWALL,"POLITICAL- A WALL PLUS NEAR MEXICO, last name Wallace",Y
AWK1116,7D,A WEEKEND ON 11/16,AW KILL,Y
AYEE CUH,2,MY NICKNAME IS CUH AND THE AYEE IS LIKE SAYING HELLO,GANG AFFILIATION- CUH-CUZZ,N
BADDRAT,7D,FRIENDS OLD COMPANY NAME,SOMEONE THAT SNITCHES,Y
BBJ TRKG,1,BUISNESS NAME,"BARE BLOW JOB OR BIRTHDAY BLOW JOB, meaning true",Y
BBYBRAT,2,ITS MY NICKNAME,BRAT,Y
BCHBACK,2,BEACH BACK,"BITCH BACK, Legacy",N
BCUDA69,1,CAR IS A 1969 PLYMOUTH BARRACUDA,"69'-SEXUAL, 69 Plymouth on ANI",Y
BE CNYOU,7D,SEE YOU LATER,BE ON YOU,Y
BLATNOI,7D,PASSED FAMILY MEMBERS FAVORITE MUSIC,BE LATINO/ BIG LATINO,Y
"BLUBOX2, ",1,"DOCTOR WHO REFERENCE BUT ALSO THE CAR IS  BLUE, WOOHOO","BOX, BLUBOX current, BLUBOX1 unacceptable",Y
BLZNM4,7D,"THE COLOR OF MY CAR IS FIRE ORANGE, HENCE THE BLAZING REFERENCE.","DRUGS- BLAZING, BMW on ANI",Y
BNYSLYR,2,NICKNAME,HOSTILE- SLAYER,N
BUTILVR,1,"BUT I LOVE HER, MY TRUCK",BOOTY LOVER,N
BZ 518,2,FIRST LETTER OF MY SON AND DAUGHTER'S NAME  AND THEIR B-DAY,BZ= BEEZY/BITCH/SLUT,N
B 34 SW,2,DAD'S PERSONAL NUMBER AND INITIAL,STAND ALONE B B=BITCH,Y
CALIAK1,2,CALIFORNIA & ALASKA COMBINED,HOSTILE- AK=AK47 RIFLE ,Y
CHOOCHA,1,NICKNAME,CHOCHA= VAGINA,N
CHSHNTR,2,MY SONS NAMES. CHASE AND HUNTER,HUNTER,Y
COCOPL8,7D,GRANDMOTHERS NAME AND LICENCE PLATE,COCO=COCAINE,Y
COLTS 18,2,PEYTON MANNING. NFL REFERENCE. LIFE LONG FAN.,GANG AFFILIATION- 18,Y
CPSPAPA,7D,"COOPER,PAYTON,SKYLARS, PAPA",CHILD PROTECTIVE SERVICES PAPA,N
CRAPPLE,2,FOR GRANDMA'S CRANBERRY/APPLE PIE,CRAP=SHIT,N
C6ZZ A,1,"FORD PART # STATES YEAR MADE, ENGINE SIZE","ASS-AZZ (BACKWARDS), meaning is true, three Fords on ANI",N
DAN M16,2,MY NAME ABREVIATED AND SON AGE,HOSTILE- M16 RIFLE,N
DAVI626,2,SONS NAME & DATE OF BIRTH,626' AREA CODE,N
DD COOPR,1,DANIEL DOBBS (CAR OWNER) MINI COOPER (TYPE  OF CAR),"DOUBLE 'D', meaning true",N
DDYSBYS,7D,DADDY'S BOYS,DADDY'S BOYS,N
D M CRZN,1,"D IS FOR ""DAVID"" GILLHAM (OWNER), M IS FOR ""MARYANN"" (OTHER OWNER) CRZN IS FOR ""CRUISING"" OR CRUIZING, WE GO ON   SHIP CRUISES",STAND ALONE D D=DICK,Y
DOKEBI,7D,KOREAN GOBLIN,"DOOKY=POOP, meaning true",Y
DP SEA,1,I AM A DEEP SEA DIVER FOR THE UNITED STATES   COAST GUARD.,DP=DOUBLE PENETRATION,Y
DP TACOS,1,I LOVE TACOS,DP=DOUBLE PENETRATION,N
DRB4EVR,2,DIRT ROAD BAND,DR B 4EVER (B=BITCH),Y
DRNK BRZ,7D,ITS A PUN. I DRIVE A BRZ WHICH WHEN  PRONOUNCED AS ONE WORD SOUNDS LIKE BEERS.  I ALSO ENJOY BEER AND WORK AT A BREWERY SO  IT SEEMS LIKE A FUN NOVELTY PLATE.,POOR TASTE- DRINKS BEER,Y
EDDYC14,2,HAS MY FRIST NAME WITH LAST NAME'S INITIAL. AND THE NUMBER 14 IS THE AGE I WAS WHEN I GOT  MY FIRST PHONE,GANG AFFILIATION '14',N
EL YOTE,7D,BASICALLY WHEN FORD NAMED THE CAR THE  COYOTE I JUST TRANSLATED IT TO SPANISH,"EL COYOTE- SMUGGLES IMMIGRANTS, Ford has a Coyote engine, customer has 04 Ford",N
ERIC559,2,ITS MY FIRST NAME & AREA CODE,AREA CODE- FRESNO (559),N
EVILS14,2,MODEL OF CAR,"GANG AFFILIATION- '14', can’t see aNI",N
EVO X14,2,EVO SHORT FOR EVOLUTION AND X MEANING 10 IN ROMAN NUMERALS 14 ITS THE YEAR OF THE CAR,"GANG AFFILIATION- '14', no 14 on ANI",Y
FRNKASO,2,MY CHILDHOOD NICKNAME,FRANK ASSHOLE,N
GANGANG,2,"CHILLING WITH BEST FRIENDS, ALSO JUST MEANS  COOL AND IS THE NAME OF A SONG",GANG,N
GAS JNKY,7D,GAS JUNKIE,JUNKY= DRUG ADDICT,Y
GAZZON,1,GAS ON AS IN HIT THE GAS,AZZ= ASS/ GAS ON,Y
GOTYRSX,1,"MILITARY TERM ""GOT YOUR SIX""",GOT YOUR SIX/ GOT YOUR SEX,Y
GS4DRTY,7D,"MODEL OF THE CAR IS A LEXUS GS430 REPLACING  THE 30 WITH ""DRTY"" AS IN DIRTY BECAUSE I NEVER WASH MY CAR","GAY STRAIGHT ALLIANCE DIRTY, can’t see ANI",Y
GTOFFMY,2,MEANS LIKE NO TAILGATING OR GET OFF MY BUMPER,HOSTILE- GET OFF MY ASS,N
GTUR SX,1,"MILITARY TERM ""COVERING YOUR SIX""",GOT YOUR SIX/ GOT YOUR SEX,Y
IRSHHOG,2,CELEBRATION OF HERITAGE,"COULD BE OFFENSIVE TO IRISH, No MC on ANI",N
ITALNSS,1,ITALIAN WOMEN,ITALIAN SS- ITALIAN ASS,N
I8 TACOS,1,MY FAVORITE FOOS ID STREET TACOS,I ATE TACOS (TACO-PUSSY),N
JIMNJO,1,JIM IS FIRST NAME N=AND JO IS FIRST NAME,JIM 'IN' JO,Y
JJMBR14,2,"JACOB,JULIA,MARTHA,BARNEY RIVAS&YEAR OF  VEHICLE","GANG AFFILIATION- '14', 14 on ANI",Y
JK TUG,1,JK IS THE MODEL OF THE JEEP AND TUG IS THE  TRUCK PULLING THE JEEP.,TUG MEANS MASTURBATING,Y
JSLVDRM,1,JUST LIVING THE DREAM,JUST LOVED ROOM,Y
JUNK925,2,I HAUL AWAY JUNK. THIS PLATE WOULD GO ON MY WORK TRUCK. 925 IS MY PHONE AREA CODE OF MY SERVICE AREA.,AREA CODE- (925),N
KMP KREW,2,"A GROUP OF FRIENDS THAT LIKE TO GO CAMPING  TOGETHER - ""CAMP CREW""",GANG AFFILIATION- 'CREW',Y
KOHKO,7D,"COCOA LIKE HOT CHOCOLATE, TO GO WITH MY  BROWN CAR",COCO=COCAINE,Y
KONSX,1,"KO = KNOCK OUT, NSX= ACURA MODEL OF CAR","CON SEX, 3 Acuras on ANI",Y
KWKSAN D,1,QUICKSAND,STAND ALONE 'D'= DICK,Y
K1LA CAM,2,NAME OF CAR IT’S A BLACK CAMRY,KILL,N
LB U2MCH,2,MY GRANDMOTHER WOULD SAY LUB INSTEAD OF  LOVE-LB U-YOU 2-TOO MCH-MUCH . LOVE YOU TOO MUCH.,LITTLE BITCH YOU TOO MUCH,N
LIDOBDY,7D,MY NICKNAME,LITTLE BODY,Y
LIL PUAA,2,LITTLE PIG,"LIL PUTA, Puaa is pig in Hawaiian",Y
LITVANE,7D,MY LITTLE GIRLS NAME,DRUGS- LIT=HIGH,N
LMS GOAT,7D,LOVE MY SLOW GOAT,"LIFE MUST SUCK GOAT, UD says like my status having to do with facebook",Y
MAAAADD,2,MEANS COOL,HOSTILE- MAD,Y
MANN2O9,2,LAST NAME & AREA CODE,AREA CODE- (209),N
MDDCE13,2,"MIKE,DONNA,DARA,CIARA,EMERY,FAMILY NUMBER IS 13",GANG AFFILIATION- '13',N
MIVLOCA,7D,A SUBTILE OF MY FAVORITE MOVIE,GANG AFFILIATION- MI VIDA LOCA ,Y
MORIS14,2,THIS IS THE NAME OF MY SON,"GANG AFFILIATION- '14', can’t see aNI",N
MR FARDI,7D,ITS MY NICKNAME & LAST NAME MIXED TOGETHER,"OFFENSIVE- FARTI, last name is Mohammadi",N
NCAL SS,2,NORCAL SUPER SPORT,"GANG AFFILIATION- 'SS', 16 Chevy auto on ANI",Y
NC DRTMX,2,NIKO (N) CUEVAS (C) DIRT (DRT) MOTOR CROSS (MX),INSULTING- NORCAL DIRTY MEXICAN,N
NOEL P,1,NICKNAME OF LICENSE PLATE OWNER,"STAND ALONE 'P'=PUSSY, last name is Perez",Y
NT BTHRD,2,NOT BOTHERED,HOSTILE- BEAT HARD,Y
OG 4DSC,2,ORIGINAL 4 D.OOR S.PORTS C.AR,GANG AFFILIATION- 'OG',N
OH POO,2,AN EXCLAMATION,VULGAR POO= SHIT,N
OLEA 13,2,I LIKE IT ITS MY LASTIMA NAME.,"GANG AFFILIATION- '13', no 13 on ANI",N
PERLA 13,2,PERLA IS THE NAME OF MY PET AND 13 IS HER AGE. **PLEASE NOTE THE SPACE BETWEEN THE WORD   PERLA AND THE NUMBER 13 (PERLA-13),GANG AFFILIATION- '13',N
P HUB,1,PORSCHE HUB,"STAND ALONE 'P'=PUSSY, 2 Porsche on ANI",N
PULID88,2,LAST NAME ,GANG AFFILIATION- '88',N
QN MUTHA,7D,QUEEN MUTHA,OFFENSIVE- QUESTIONING MUTHA FUCKER,N
REELAFR,2,REEL AFFAIR (MY BOAT NAME,"VULGAR AFR=ACCIDENTAL FECAL RELEASE 153 Up, 32 Down",Y
RIP 5 O,2,RESPECT TO MY FELLOW LEO BROTHERS AND SISTERS,HOSTILE TOWARDS POLICE,N
RLOWEHO,1,MY NAME & MY TOWN,"SEXUAL- HO, Richard Lopez, maybe west Hollywood",N
RNDMPL8,1,"RANDOM PLATE, IRONY","SEXUAL RND=REAL NIGGA DICK, 49 Up 29 Down",Y
RNIS RD,7D,RONNIE'S RIDE,DR SINNER (BACKWARDS),Y
ROAST U,2,I LOVE TO COOK MEAT ON MY SPARE TIME & IM KNOWN BY MY FRIENDS FOR MAKING A GREAT ROAST BEEF. SO GOOD IN FACT THEY TELL ME I CAN ROAST ANYTHING & IT WOULD STILL BE DELICIOUS.,HOSTILE,N
ROCKEHI,7D ,ROCK CLIMBING,OFFENSIVE- HIGH (WEED),N
ROMEO LB,2,ROMEO IS A NICKNAME GIVEN BY FAMILY MEMBERS & LB STANDS FOR THE CITY I LIVE IN LONG BEACH.,INSULTING-LB=LITTLE BITCH,Y
RUBIO SS,2,LAST NAME,"GANG AFFILIATION- 'SS', 86 Chevy auto on ANI",Y
RUIZKLN,2,RUIZ KLAN,"HOSTILE- KLN=KILLING, last name Ruiz",N
R13S3A8,2,"OUR FAMILY FIRST INITIAL AND LUCKY NUMBERS: ROB 13, SHANA 3",GANG AFFILIATION- '13',Y
SASUKE,1,ITS MY NINJA NAME,"SEXUAL- A BIG VAGINA, character in Naruto anime, first UD definiation calls him a big vagina",Y
SC LA,2,SOUTH CALIFORNIA LOS ANGELES,GANG AFFILIATION- SOUTH CENTRAL L.A.,Y
SCAT P21,2,"CHALLENGER MODEL IS SCAT PACK, 21 FAVORITE  NUMBER.",VULGAR- SCAT=SHIT,N
SCOQOBY,6,MY NICKNAME FROM MY CHILDHOOD,SCOOOBY LOOK-A-LIKE,N
SIRIUS A,1,"NEARBY STAR, SIRIUS A","SEXUAL- SERIOUS ASS, meaning is true",Y
SMAK SUM,2,NICKNAME,HOSTILE- SMACK SOME,N
SMKN MK8,2,SMOKING MARK 8,HOSTILE- MK8 RIFLE Lincoln MK8 auto,N
SPNER13,2,NAME & BIRTHDAY,GANG AFFILIATION- '13',N
SS CLNE,2,SS CLONE,"GANG AFFILIATION- 'SS', SS Clone has something to do with silverados. Customer has 05 Chevy truck",Y
SUZII B,2,WIFE'S FIRST NAME HUSBAND'S LAST NAME,STAND ALONE 'B'= BITCH,Y
TACO BFG,7D AND 1,BF GOODRICH TOYOTA RACING DEVELOPMENT,"SEXUAL-TACO/ BFG-BIG FUCKING GIRL, No Toyota on ANI",N
TAILPOP,1,FILM TERM,"SEXUAL- ASS POP, meaning true",Y
VIGIL88,2,LAST NAME & YEAR OF BIRTH,GANG AFFILIATION- '88',N
YOUZME,7D,YOU SEE ME.. LIKE YOU SEE ME DRIVING IN MY NISSAN 350Z,OFFENSIVE- USE ME,N
1BA 55O,7D,ONE NICE 550 MODEL NUMBER OF THE CAR.,OFFENSIVE- BA=BAD ASS,N
1GHOST3,2,THE YEAR MY DAUGHTER WAS BORN AND WHAT  SHE CALLS MY CAR.,GANG AFFILIATION- '13',N
1 JOHN4,2,BIBLE VERSE,GANG AFFILIATION- '14',N
14PIPER,2,YEAR WIFE & I MET & PETS NAME,GANG AFFILIATION- '14',N
69 CMXII,1,MODEL YEAR 1969 PORSCHE 912,"SEXUAL- '69', 69 Porsche on ANI",Y
69ORNAH,1,"YEAR 69 OR NAH MEANING ""NO""","SEXUAL- '69', no 69 on ANI",N
777HK88,2,777 MEANS LUCKY AND HK88 IS REPRESENTING AN  IMPORTANT DAY IN MY LIFE.,GANG AFFILIATION- '88',N
8SANDY8,2,DAUGHTER'S NAME & FAVORITE NUMBER,GANG AFFILIATION- '88',N
8 XCS 8,2,FAVORITE NUMBER & INITIALS,GANG AFFILIATION- '88',N
88US888,2,MEMORY,GANG AFFILIATION- '88',N
DAM1TA&,7D,YOUNG LADY,"OFFENSIVE- DAM 1, lookalike DAMITA current",N
EHRCJ88,8,FAMILY LETTERS,GANG AFFILIATION- '88',N
HILLS JP,2,HILL'S JEEP,"INSULTING- JP=JAP, Jeep on ANI",Y
FUBARU,7D,"FUBAR IS ANOTHER WAY OF SAYING 'MISTAKE' IN  THE MILITARY OR MESSUP. SUBARU, FUBARU. IT'S  SUPPOSED TO BE FUNNY",OFFENSIVE- FU=FUCK YOU,N
H8TOGO,2,HATE TO GO...LIKE YOU DON'T WANT TO LEAVE,HOSTILE HATED,Y
JUAN14,2,MY NAME & YEAR OF MY CAR,"GANG AFFILIATION- '14', 14 Chevy on ANI",Y
TOP M,2,TOP IS THE SHORT TITLE FOR A MARINE MASTER  SERGEANT. M IS THE BEGINNING OF MY LAST NAME,"VULGAR- TOP=ANAL GAY INTERCOURSE, Vet plate meaning true",Y
BUC R U,2,BUCK-A-ROO,VULGAR- FUCK ARE YOU,N
DYSNYL D,1,DISNEYLAND,STAND ALONE 'D'= DICK,Y
G8R H8R2,2,I HAD A BAD EXPERIENCE WITH AN ALLIGATOR ON A GOLF COURSE.,"HOSTILE HATER, G8R H8R just got approved by Miguel",Y
H8UTRFC,2,HATE YOU TRAFFIC,HOSTILE HATE YOU,N
KOOL JP,2,COOL JEEP,"RACIAL- JP=JAP, Jeep on ANI",Y
MUD SLTT,2,I LIKE TO GO MUDDING IN MY TRUCK,VULGAR- MUD SLUT,N
NAH 1 7,7D,"NAHUM 1:7 THE LORD IS GOOD TO THOSE WHO  WAIT FOR HIM, A REFUGE ON THE DAY OF DISTRESS,TAKING CARE OF THOSE WHO LOOK TO HIM FOR  PROTECTION.","OFFENSIVE PERVY ""NO SHE'S 17""",Y
SUPH8TR,7D,HELLO BUDDY,OFFENSIVE- HATER,N
U STUNOD,7D,YOU'RE CRAZY IN ITALIAN,"DIRECTIVE- YOU,  STOONAD unacceptable",N
88A RACN,2,RACE CAR #,GANG AFFILIATION- '88',N
TMFD,2,THE MOTORCYCLE FOR DADDY,"VULGAR- THE MOTHER FUCKING 'D', UD says TMF means too much forehead 210 Up and 39 Down",N
